tms_inds,tms_vals
"[1, 1, 1, 1]",9
"[1, 1, 1, 2]",1
"[1, 1, 1, 3]",2
"[1, 1, 1, 5]",1
"[1, 1, 1, 7]",1
"[1, 1, 1, 8]",2
"[1, 1, 1, 9]",2
"[1, 1, 2, 2]",1
"[1, 1, 2, 7]",1
"[1, 1, 3, 3]",2
"[1, 1, 3, 8]",1
"[1, 1, 3, 9]",1
"[1, 1, 5, 5]",1
"[1, 1, 7, 7]",1
"[1, 1, 8, 8]",2
"[1, 1, 8, 9]",1
"[1, 1, 9, 9]",2
"[1, 2, 2, 2]",1
"[1, 2, 2, 7]",1
"[1, 2, 7, 7]",1
"[1, 3, 3, 3]",2
"[1, 3, 3, 8]",1
"[1, 3, 3, 9]",1
"[1, 3, 8, 8]",1
"[1, 3, 8, 9]",1
"[1, 3, 9, 9]",1
"[1, 5, 5, 5]",1
"[1, 7, 7, 7]",1
"[1, 8, 8, 8]",2
"[1, 8, 8, 9]",1
"[1, 8, 9, 9]",1
"[1, 9, 9, 9]",2
"[2, 2, 2, 2]",6
"[2, 2, 2, 3]",1
"[2, 2, 2, 6]",2
"[2, 2, 2, 7]",2
"[2, 2, 3, 3]",1
"[2, 2, 3, 6]",1
"[2, 2, 6, 6]",2
"[2, 2, 6, 7]",1
"[2, 2, 7, 7]",2
"[2, 3, 3, 3]",1
"[2, 3, 3, 6]",1
"[2, 3, 6, 6]",1
"[2, 6, 6, 6]",2
"[2, 6, 6, 7]",1
"[2, 6, 7, 7]",1
"[2, 7, 7, 7]",2
"[3, 3, 3, 3]",8
"[3, 3, 3, 6]",1
"[3, 3, 3, 8]",2
"[3, 3, 3, 9]",2
"[3, 3, 6, 6]",1
"[3, 3, 8, 8]",2
"[3, 3, 8, 9]",1
"[3, 3, 9, 9]",2
"[3, 6, 6, 6]",1
"[3, 8, 8, 8]",2
"[3, 8, 8, 9]",1
"[3, 8, 9, 9]",1
"[3, 9, 9, 9]",2
"[4, 4, 4, 4]",1
"[4, 4, 4, 9]",1
"[4, 4, 9, 9]",1
"[4, 9, 9, 9]",1
"[5, 5, 5, 5]",1
"[6, 6, 6, 6]",4
"[6, 6, 6, 7]",1
"[6, 6, 7, 7]",1
"[6, 7, 7, 7]",1
"[7, 7, 7, 7]",6
"[7, 7, 7, 9]",1
"[7, 7, 7, 10]",1
"[7, 7, 9, 9]",1
"[7, 7, 9, 10]",1
"[7, 7, 10, 10]",1
"[7, 9, 9, 9]",1
"[7, 9, 9, 10]",1
"[7, 9, 10, 10]",1
"[7, 10, 10, 10]",1
"[8, 8, 8, 8]",6
"[8, 8, 8, 9]",2
"[8, 8, 9, 9]",2
"[8, 9, 9, 9]",2
"[9, 9, 9, 9]",9
"[9, 9, 9, 10]",1
"[9, 9, 10, 10]",1
"[9, 10, 10, 10]",1
"[10, 10, 10, 10]",2
