tms_inds,tms_vals
"[1, 1, 1]",2
"[1, 1, 5]",1
"[1, 1, 10]",1
"[1, 5, 5]",1
"[1, 5, 10]",1
"[1, 10, 10]",1
"[2, 2, 2]",5
"[2, 2, 3]",1
"[2, 2, 8]",1
"[2, 2, 9]",2
"[2, 2, 10]",1
"[2, 3, 3]",1
"[2, 3, 9]",1
"[2, 8, 8]",1
"[2, 9, 9]",2
"[2, 9, 10]",1
"[2, 10, 10]",1
"[3, 3, 3]",6
"[3, 3, 4]",1
"[3, 3, 8]",2
"[3, 3, 9]",2
"[3, 4, 4]",1
"[3, 4, 8]",1
"[3, 8, 8]",2
"[3, 8, 9]",1
"[3, 9, 9]",2
"[4, 4, 4]",2
"[4, 4, 8]",1
"[4, 8, 8]",1
"[5, 5, 5]",3
"[5, 5, 8]",1
"[5, 5, 10]",1
"[5, 8, 8]",1
"[5, 10, 10]",1
"[8, 8, 8]",6
"[8, 8, 9]",1
"[8, 9, 9]",1
"[9, 9, 9]",6
"[9, 9, 10]",1
"[9, 10, 10]",1
"[10, 10, 10]",4
