tms_inds,tms_vals
"[1, 1, 1, 1]",18
"[1, 1, 1, 5]",6
"[1, 1, 1, 6]",4
"[1, 1, 1, 8]",2
"[1, 1, 1, 9]",4
"[1, 1, 1, 10]",2
"[1, 1, 5, 5]",6
"[1, 1, 5, 6]",2
"[1, 1, 5, 8]",1
"[1, 1, 5, 9]",2
"[1, 1, 5, 10]",1
"[1, 1, 6, 6]",4
"[1, 1, 6, 8]",1
"[1, 1, 6, 9]",1
"[1, 1, 8, 8]",2
"[1, 1, 9, 9]",4
"[1, 1, 9, 10]",1
"[1, 1, 10, 10]",2
"[1, 5, 5, 5]",6
"[1, 5, 5, 6]",2
"[1, 5, 5, 8]",1
"[1, 5, 5, 9]",2
"[1, 5, 5, 10]",1
"[1, 5, 6, 6]",2
"[1, 5, 6, 8]",1
"[1, 5, 6, 9]",1
"[1, 5, 8, 8]",1
"[1, 5, 9, 9]",2
"[1, 5, 9, 10]",1
"[1, 5, 10, 10]",1
"[1, 6, 6, 6]",4
"[1, 6, 6, 8]",1
"[1, 6, 6, 9]",1
"[1, 6, 8, 8]",1
"[1, 6, 9, 9]",1
"[1, 8, 8, 8]",2
"[1, 9, 9, 9]",4
"[1, 9, 9, 10]",1
"[1, 9, 10, 10]",1
"[1, 10, 10, 10]",2
"[2, 2, 2, 2]",6
"[2, 2, 2, 5]",2
"[2, 2, 2, 6]",2
"[2, 2, 2, 9]",2
"[2, 2, 5, 5]",2
"[2, 2, 5, 6]",1
"[2, 2, 5, 9]",1
"[2, 2, 6, 6]",2
"[2, 2, 6, 9]",1
"[2, 2, 9, 9]",2
"[2, 5, 5, 5]",2
"[2, 5, 5, 6]",1
"[2, 5, 5, 9]",1
"[2, 5, 6, 6]",1
"[2, 5, 6, 9]",1
"[2, 5, 9, 9]",1
"[2, 6, 6, 6]",2
"[2, 6, 6, 9]",1
"[2, 6, 9, 9]",1
"[2, 9, 9, 9]",2
"[3, 3, 3, 3]",4
"[3, 3, 3, 4]",1
"[3, 3, 3, 9]",2
"[3, 3, 3, 10]",1
"[3, 3, 4, 4]",1
"[3, 3, 4, 9]",1
"[3, 3, 9, 9]",2
"[3, 3, 9, 10]",1
"[3, 3, 10, 10]",1
"[3, 4, 4, 4]",1
"[3, 4, 4, 9]",1
"[3, 4, 9, 9]",1
"[3, 9, 9, 9]",2
"[3, 9, 9, 10]",1
"[3, 9, 10, 10]",1
"[3, 10, 10, 10]",1
"[4, 4, 4, 4]",2
"[4, 4, 4, 9]",1
"[4, 4, 9, 9]",1
"[4, 9, 9, 9]",1
"[5, 5, 5, 5]",26
"[5, 5, 5, 6]",6
"[5, 5, 5, 8]",3
"[5, 5, 5, 9]",7
"[5, 5, 5, 10]",2
"[5, 5, 6, 6]",6
"[5, 5, 6, 8]",1
"[5, 5, 6, 9]",2
"[5, 5, 8, 8]",3
"[5, 5, 8, 9]",1
"[5, 5, 9, 9]",7
"[5, 5, 9, 10]",1
"[5, 5, 10, 10]",2
"[5, 6, 6, 6]",6
"[5, 6, 6, 8]",1
"[5, 6, 6, 9]",2
"[5, 6, 8, 8]",1
"[5, 6, 9, 9]",2
"[5, 8, 8, 8]",3
"[5, 8, 8, 9]",1
"[5, 8, 9, 9]",1
"[5, 9, 9, 9]",7
"[5, 9, 9, 10]",1
"[5, 9, 10, 10]",1
"[5, 10, 10, 10]",2
"[6, 6, 6, 6]",18
"[6, 6, 6, 8]",2
"[6, 6, 6, 9]",4
"[6, 6, 8, 8]",2
"[6, 6, 9, 9]",4
"[6, 8, 8, 8]",2
"[6, 9, 9, 9]",4
"[8, 8, 8, 8]",8
"[8, 8, 8, 9]",1
"[8, 8, 9, 9]",1
"[8, 9, 9, 9]",1
"[9, 9, 9, 9]",24
"[9, 9, 9, 10]",3
"[9, 9, 10, 10]",3
"[9, 10, 10, 10]",3
"[10, 10, 10, 10]",8
