tms_inds,tms_vals
"[2, 2, 2]",4
"[2, 2, 3]",1
"[2, 2, 4]",1
"[2, 2, 5]",1
"[2, 2, 8]",1
"[2, 3, 3]",1
"[2, 3, 8]",1
"[2, 4, 4]",1
"[2, 4, 5]",1
"[2, 5, 5]",1
"[2, 8, 8]",1
"[3, 3, 3]",6
"[3, 3, 4]",1
"[3, 3, 5]",1
"[3, 3, 7]",1
"[3, 3, 8]",2
"[3, 4, 4]",1
"[3, 4, 5]",1
"[3, 5, 5]",1
"[3, 7, 7]",1
"[3, 7, 8]",1
"[3, 8, 8]",2
"[4, 4, 4]",7
"[4, 4, 5]",2
"[4, 4, 7]",1
"[4, 4, 9]",1
"[4, 4, 10]",1
"[4, 5, 5]",2
"[4, 7, 7]",1
"[4, 7, 9]",1
"[4, 9, 9]",1
"[4, 10, 10]",1
"[5, 5, 5]",4
"[7, 7, 7]",4
"[7, 7, 8]",1
"[7, 7, 9]",1
"[7, 8, 8]",1
"[7, 9, 9]",1
"[8, 8, 8]",6
"[8, 8, 9]",1
"[8, 8, 10]",1
"[8, 9, 9]",1
"[8, 9, 10]",1
"[8, 10, 10]",1
"[9, 9, 9]",4
"[9, 9, 10]",1
"[9, 10, 10]",1
"[10, 10, 10]",3
